RecordKey   Fecha   ErrNum  ErrMsj  TipoDocumento
808  28052012  -2028   No existen registros coincidentes ODBC -2028   OP411/11
837  28052012  -2028   No existen registros coincidentes ODBC -2028   OP440/11
844  28052012  -2028   No existen registros coincidentes ODBC -2028   OP447/11
845  28052012  -2028   No existen registros coincidentes ODBC -2028   OP448/11
879  28052012  -2028   No existen registros coincidentes ODBC -2028   OP481/11
882  28052012  -2028   No existen registros coincidentes ODBC -2028   OP484/11
885  28052012  -2028   No existen registros coincidentes ODBC -2028   OP487/11
888  28052012  -2028   No existen registros coincidentes ODBC -2028   OP490/11
909  28052012  -2028   No existen registros coincidentes ODBC -2028   OP510/11
912  28052012  -2028   No existen registros coincidentes ODBC -2028   OP513/11
913  28052012  -2028   No existen registros coincidentes ODBC -2028   OP514/11
929  28052012  -2028   No existen registros coincidentes ODBC -2028   OP530/11
992  28052012  -2028   No existen registros coincidentes ODBC -2028   OP592/11
1003  28052012  -2028   No existen registros coincidentes ODBC -2028   OP603/11
1019  28052012  -2028   No existen registros coincidentes ODBC -2028   OP615/11
1042  28052012  -2028   No existen registros coincidentes ODBC -2028   OP638/11
1065  28052012  -2028   No existen registros coincidentes ODBC -2028   OP661/11
1071  28052012  -2028   No existen registros coincidentes ODBC -2028   OP667/11
1072  28052012  -2028   No existen registros coincidentes ODBC -2028   OP668/11
1075  28052012  -2028   No existen registros coincidentes ODBC -2028   OP671/11
1076  28052012  -2028   No existen registros coincidentes ODBC -2028   OP672/11
1080  28052012  -2028   No existen registros coincidentes ODBC -2028   OP676/11
1141  28052012  -2028   No existen registros coincidentes ODBC -2028   OP736/11
1175  28052012  -2028   No existen registros coincidentes ODBC -2028   OP770/11
1177  28052012  -2028   No existen registros coincidentes ODBC -2028   OP772/11
1185  28052012  -2028   No existen registros coincidentes ODBC -2028   OP780/11
1200  28052012  -2028   No existen registros coincidentes ODBC -2028   OP793/11
1211  28052012  -2028   No existen registros coincidentes ODBC -2028   OP804/11
1223  28052012  -2028   No existen registros coincidentes ODBC -2028   OP816/11
1240  28052012  -2028   No existen registros coincidentes ODBC -2028   OP833/11
1254  28052012  -2028   No existen registros coincidentes ODBC -2028   OP847/11
1261  28052012  -2028   No existen registros coincidentes ODBC -2028   OP854/11
1306  28052012  -2028   No existen registros coincidentes ODBC -2028   OP899/11
1312  28052012  -2028   No existen registros coincidentes ODBC -2028   OP905/11
1349  28052012  -2028   No existen registros coincidentes ODBC -2028   OP941/11
1357  28052012  -2028   No existen registros coincidentes ODBC -2028   OP949/11
1388  28052012  -2028   No existen registros coincidentes ODBC -2028   OP978/11
1419  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1008/11
1420  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1009/11
1423  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1012/11
1424  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1013/11
1425  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1014/11
1426  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1015/11
1427  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1016/11
